Area,Year,Animal,Measurement,Unit,Value
Prince Edward Island,1996,All other sheep,Number of animals,Number,1520
Prince Edward Island,1996,All other sheep,Average number,Number,23
Prince Edward Island,1996,Horses and ponies,Number of farms reporting,Number,379
Prince Edward Island,1996,Horses and ponies,Number of animals,Number,1869
Prince Edward Island,1996,Horses and ponies,Average number,Number,5
Prince Edward Island,1996,Goats,Number of farms reporting,Number,36
Prince Edward Island,1996,Goats,Number of animals,Number,227
Prince Edward Island,1996,Goats,Average number,Number,6
Prince Edward Island,1996,Mink,Number of farms reporting,Number,7
Prince Edward Island,1996,Mink,Number of animals,Number,28390
Prince Edward Island,1996,Mink,Average number,Number,4056
Prince Edward Island,1996,Fox,Number of farms reporting,Number,30
Prince Edward Island,1996,Fox,Number of animals,Number,3160
Prince Edward Island,1996,Fox,Average number,Number,105
Prince Edward Island,1996,Bison,Number of farms reporting,Number,1
Prince Edward Island,1996,Total hens and chickens,Number of farms reporting,Number,154
Prince Edward Island,1996,Total hens and chickens,Number of animals,Number,352488
Prince Edward Island,1996,Total hens and chickens,Average number,Number,2289
Prince Edward Island,1996,Turkeys,Number of farms reporting,Number,19
Prince Edward Island,1996,Turkeys,Number of animals,Number,3173
Prince Edward Island,1996,Turkeys,Average number,Number,167
Nova Scotia,1996,Total cattle,Number of farms reporting,Number,2123
Nova Scotia,1996,Total cattle,Number of animals,Number,128971
Nova Scotia,1996,Total cattle,Average number,Number,61
Nova Scotia,1996,Dairy cows,Number of farms reporting,Number,619
Nova Scotia,1996,Dairy cows,Number of animals,Number,26623
Nova Scotia,1996,Dairy cows,Average number,Number,43
Nova Scotia,1996,Beef cows,Number of farms reporting,Number,1520
Nova Scotia,1996,Beef cows,Number of animals,Number,32068
Nova Scotia,1996,Beef cows,Average number,Number,21
Nova Scotia,1996,Total heifers,Number of farms reporting,Number,1672
Nova Scotia,1996,Total heifers,Number of animals,Number,23093
Nova Scotia,1996,Total heifers,Average number,Number,14
Nova Scotia,1996,Bulls, 1 year and over,Number of farms reporting,Number,1305
Nova Scotia,1996,Bulls, 1 year and over,Number of animals,Number,1984
Nova Scotia,1996,Bulls, 1 year and over,Average number,Number,2
Nova Scotia,1996,Steers, 1 year and over,Number of farms reporting,Number,933
Nova Scotia,1996,Steers, 1 year and over,Number of animals,Number,9684
Nova Scotia,1996,Steers, 1 year and over,Average number,Number,10
Nova Scotia,1996,Calves, under 1 year,Number of farms reporting,Number,1924
Nova Scotia,1996,Calves, under 1 year,Number of animals,Number,35519
Nova Scotia,1996,Calves, under 1 year,Average number,Number,18
Nova Scotia,1996,Total pigs,Number of farms reporting,Number,217
Nova Scotia,1996,Total pigs,Number of animals,Number,130707
Nova Scotia,1996,Total pigs,Average number,Number,602
Nova Scotia,1996,Boars,Number of farms reporting,Number,106
Nova Scotia,1996,Boars,Number of animals,Number,543
Nova Scotia,1996,Boars,Average number,Number,5
Nova Scotia,1996,Sows and gilts for breeding,Number of farms reporting,Number,124
Nova Scotia,1996,Sows and gilts for breeding,Number of animals,Number,11187
Nova Scotia,1996,Sows and gilts for breeding,Average number,Number,90
Nova Scotia,1996,All other pigs,Number of farms reporting,Number,201
Nova Scotia,1996,All other pigs,Number of animals,Number,118977
Nova Scotia,1996,All other pigs,Average number,Number,592
Nova Scotia,1996,Total sheep,Number of farms reporting,Number,235
Nova Scotia,1996,Total sheep,Number of animals,Number,23506
Nova Scotia,1996,Total sheep,Average number,Number,100
Nova Scotia,1996,Rams,Number of farms reporting,Number,171
Nova Scotia,1996,Rams,Number of animals,Number,511
Nova Scotia,1996,Rams,Average number,Number,3
Nova Scotia,1996,Ewes,Number of farms reporting,Number,221
Nova Scotia,1996,Ewes,Number of animals,Number,11240
Nova Scotia,1996,Ewes,Average number,Number,51
Nova Scotia,1996,All other sheep,Number of farms reporting,Number,209
Nova Scotia,1996,All other sheep,Number of animals,Number,11755
Nova Scotia,1996,All other sheep,Average number,Number,56
Nova Scotia,1996,Horses and ponies,Number of farms reporting,Number,648
Nova Scotia,1996,Horses and ponies,Number of animals,Number,2907
Nova Scotia,1996,Horses and ponies,Average number,Number,4
Nova Scotia,1996,Goats,Number of farms reporting,Number,194
Nova Scotia,1996,Goats,Number of animals,Number,2572
Nova Scotia,1996,Goats,Average number,Number,13
Nova Scotia,1996,Mink,Number of farms reporting,Number,70
Nova Scotia,1996,Mink,Number of animals,Number,392760
Nova Scotia,1996,Mink,Average number,Number,5611
Nova Scotia,1996,Fox,Number of farms reporting,Number,49
Nova Scotia,1996,Fox,Number of animals,Number,8653
Nova Scotia,1996,Fox,Average number,Number,177
Nova Scotia,1996,Bison,Number of farms reporting,Number,1
Nova Scotia,1996,Llamas and alpacas,Number of farms reporting,Number,12
Nova Scotia,1996,Llamas and alpacas,Number of animals,Number,56
Nova Scotia,1996,Llamas and alpacas,Average number,Number,5
Nova Scotia,1996,Total hens and chickens,Number of farms reporting,Number,483
Nova Scotia,1996,Total hens and chickens,Number of animals,Number,3558559
Nova Scotia,1996,Total hens and chickens,Average number,Number,7368
Nova Scotia,1996,Turkeys,Number of farms reporting,Number,82
Nova Scotia,1996,Turkeys,Number of animals,Number,303709
Nova Scotia,1996,Turkeys,Average number,Number,3704
New Brunswick,1996,Total cattle,Number of farms reporting,Number,1736
New Brunswick,1996,Total cattle,Number of animals,Number,100297
New Brunswick,1996,Total cattle,Average number,Number,58
New Brunswick,1996,Dairy cows,Number of farms reporting,Number,496
New Brunswick,1996,Dairy cows,Number of animals,Number,21265
New Brunswick,1996,Dairy cows,Average number,Number,43
New Brunswick,1996,Beef cows,Number of farms reporting,Number,1235
New Brunswick,1996,Beef cows,Number of animals,Number,22881
New Brunswick,1996,Beef cows,Average number,Number,19
New Brunswick,1996,Total heifers,Number of farms reporting,Number,1360
New Brunswick,1996,Total heifers,Number of animals,Number,17506
New Brunswick,1996,Total heifers,Average number,Number,13
New Brunswick,1996,Bulls, 1 year and over,Number of farms reporting,Number,1105
New Brunswick,1996,Bulls, 1 year and over,Number of animals,Number,1793
New Brunswick,1996,Bulls, 1 year and over,Average number,Number,2
New Brunswick,1996,Steers, 1 year and over,Number of farms reporting,Number,677
New Brunswick,1996,Steers, 1 year and over,Number of animals,Number,8886
New Brunswick,1996,Steers, 1 year and over,Average number,Number,13
New Brunswick,1996,Calves, under 1 year,Number of farms reporting,Number,1586
New Brunswick,1996,Calves, under 1 year,Number of animals,Number,27966
New Brunswick,1996,Calves, under 1 year,Average number,Number,18
New Brunswick,1996,Total pigs,Number of farms reporting,Number,225
New Brunswick,1996,Total pigs,Number of animals,Number,74471
New Brunswick,1996,Total pigs,Average number,Number,331
New Brunswick,1996,Boars,Number of farms reporting,Number,106
New Brunswick,1996,Boars,Number of animals,Number,437
New Brunswick,1996,Boars,Average number,Number,4
New Brunswick,1996,Sows and gilts for breeding,Number of farms reporting,Number,120
New Brunswick,1996,Sows and gilts for breeding,Number of animals,Number,7288
New Brunswick,1996,Sows and gilts for breeding,Average number,Number,61
New Brunswick,1996,All other pigs,Number of farms reporting,Number,213
New Brunswick,1996,All other pigs,Number of animals,Number,66746
New Brunswick,1996,All other pigs,Average number,Number,313
New Brunswick,1996,Total sheep,Number of farms reporting,Number,127
New Brunswick,1996,Total sheep,Number of animals,Number,7266
New Brunswick,1996,Total sheep,Average number,Number,57
New Brunswick,1996,Rams,Number of farms reporting,Number,90
New Brunswick,1996,Rams,Number of animals,Number,133
New Brunswick,1996,Rams,Average number,Number,1
New Brunswick,1996,Ewes,Number of farms reporting,Number,118
New Brunswick,1996,Ewes,Number of animals,Number,3441
New Brunswick,1996,Ewes,Average number,Number,29
New Brunswick,1996,All other sheep,Number of farms reporting,Number,107
New Brunswick,1996,All other sheep,Number of animals,Number,3692
New Brunswick,1996,All other sheep,Average number,Number,35
New Brunswick,1996,Horses and ponies,Number of farms reporting,Number,552
New Brunswick,1996,Horses and ponies,Number of animals,Number,2757
New Brunswick,1996,Horses and ponies,Average number,Number,5
New Brunswick,1996,Goats,Number of farms reporting,Number,78
New Brunswick,1996,Goats,Number of animals,Number,806
New Brunswick,1996,Goats,Average number,Number,10
New Brunswick,1996,Mink,Number of farms reporting,Number,2
New Brunswick,1996,Fox,Number of farms reporting,Number,49
New Brunswick,1996,Fox,Number of animals,Number,6585
New Brunswick,1996,Fox,Average number,Number,134
New Brunswick,1996,Bison,Number of farms reporting,Number,2
New Brunswick,1996,Total hens and chickens,Number of farms reporting,Number,351
New Brunswick,1996,Total hens and chickens,Number of animals,Number,2663684
New Brunswick,1996,Total hens and chickens,Average number,Number,7589
New Brunswick,1996,Turkeys,Number of farms reporting,Number,56
New Brunswick,1996,Turkeys,Number of animals,Number,188984
New Brunswick,1996,Turkeys,Average number,Number,3375
Quebec,1996,Total cattle,Number of farms reporting,Number,19658
Quebec,1996,Total cattle,Number of animals,Number,1439743
Quebec,1996,Total cattle,Average number,Number,73
Quebec,1996,Dairy cows,Number of farms reporting,Number,11557
Quebec,1996,Dairy cows,Number of animals,Number,471855
Quebec,1996,Dairy cows,Average number,Number,41
Quebec,1996,Beef cows,Number of farms reporting,Number,8470
Quebec,1996,Beef cows,Number of animals,Number,231891
Quebec,1996,Beef cows,Average number,Number,27
Quebec,1996,Total heifers,Number of farms reporting,Number,16012
Quebec,1996,Total heifers,Number of animals,Number,249300
Quebec,1996,Total heifers,Average number,Number,16
Quebec,1996,Bulls, 1 year and over,Number of farms reporting,Number,10942
Quebec,1996,Bulls, 1 year and over,Number of animals,Number,22599
Quebec,1996,Bulls, 1 year and over,Average number,Number,2
Quebec,1996,Steers, 1 year and over,Number of farms reporting,Number,4215
Quebec,1996,Steers, 1 year and over,Number of animals,Number,81715
Quebec,1996,Steers, 1 year and over,Average number,Number,19
Quebec,1996,Calves, under 1 year,Number of farms reporting,Number,18007
Quebec,1996,Calves, under 1 year,Number of animals,Number,382383
Quebec,1996,Calves, under 1 year,Average number,Number,21
Quebec,1996,Total pigs,Number of farms reporting,Number,3040
Quebec,1996,Total pigs,Number of animals,Number,3443832
Quebec,1996,Total pigs,Average number,Number,1133
Quebec,1996,Boars,Number of farms reporting,Number,1875
Quebec,1996,Boars,Number of animals,Number,12539
Quebec,1996,Boars,Average number,Number,7
Quebec,1996,Sows and gilts for breeding,Number of farms reporting,Number,1955
Quebec,1996,Sows and gilts for breeding,Number of animals,Number,317841
Quebec,1996,Sows and gilts for breeding,Average number,Number,163
Quebec,1996,All other pigs,Number of farms reporting,Number,2938
Quebec,1996,All other pigs,Number of animals,Number,3113452
Quebec,1996,All other pigs,Average number,Number,1060
Quebec,1996,Total sheep,Number of farms reporting,Number,1088
Quebec,1996,Total sheep,Number of animals,Number,151557
Quebec,1996,Total sheep,Average number,Number,139
Quebec,1996,Rams,Number of farms reporting,Number,849
Quebec,1996,Rams,Number of animals,Number,3144
Quebec,1996,Rams,Average number,Number,4
Quebec,1996,Ewes,Number of farms reporting,Number,988
Quebec,1996,Ewes,Number of animals,Number,88585
Quebec,1996,Ewes,Average number,Number,90
Quebec,1996,All other sheep,Number of farms reporting,Number,958
Quebec,1996,All other sheep,Number of animals,Number,59828
Quebec,1996,All other sheep,Average number,Number,62
Quebec,1996,Horses and ponies,Number of farms reporting,Number,4518
Quebec,1996,Horses and ponies,Number of animals,Number,25108
Quebec,1996,Horses and ponies,Average number,Number,6
Quebec,1996,Goats,Number of farms reporting,Number,931
Quebec,1996,Goats,Number of animals,Number,15445
Quebec,1996,Goats,Average number,Number,17
Quebec,1996,Mink,Number of farms reporting,Number,20
Quebec,1996,Mink,Number of animals,Number,78213
Quebec,1996,Mink,Average number,Number,3911
Quebec,1996,Fox,Number of farms reporting,Number,53
Quebec,1996,Fox,Number of animals,Number,7143
Quebec,1996,Fox,Average number,Number,135
Quebec,1996,Bison,Number of farms reporting,Number,56
Quebec,1996,Bison,Number of animals,Number,2236
Quebec,1996,Bison,Average number,Number,40
Quebec,1996,Llamas and alpacas,Number of farms reporting,Number,40
Quebec,1996,Llamas and alpacas,Number of animals,Number,143
Quebec,1996,Llamas and alpacas,Average number,Number,4
Quebec,1996,Total hens and chickens,Number of farms reporting,Number,2401
Quebec,1996,Total hens and chickens,Number of animals,Number,25440825
Quebec,1996,Total hens and chickens,Average number,Number,10596
Quebec,1996,Turkeys,Number of farms reporting,Number,404
Quebec,1996,Turkeys,Number of animals,Number,1806782
Quebec,1996,Turkeys,Average number,Number,4472
Ontario,1996,Total cattle,Number of farms reporting,Number,33394
Ontario,1996,Total cattle,Number of animals,Number,2285996
Ontario,1996,Total cattle,Average number,Number,68
Ontario,1996,Dairy cows,Number of farms reporting,Number,10122
Ontario,1996,Dairy cows,Number of animals,Number,404797
Ontario,1996,Dairy cows,Average number,Number,40
Ontario,1996,Beef cows,Number of farms reporting,Number,19572
Ontario,1996,Beef cows,Number of animals,Number,441211
Ontario,1996,Beef cows,Average number,Number,23
Ontario,1996,Total heifers,Number of farms reporting,Number,23904
Ontario,1996,Total heifers,Number of animals,Number,450777
Ontario,1996,Total heifers,Average number,Number,19
Ontario,1996,Bulls, 1 year and over,Number of farms reporting,Number,17232
Ontario,1996,Bulls, 1 year and over,Number of animals,Number,32677
Ontario,1996,Bulls, 1 year and over,Average number,Number,2
Ontario,1996,Steers, 1 year and over,Number of farms reporting,Number,13005
Ontario,1996,Steers, 1 year and over,Number of animals,Number,348663
Ontario,1996,Steers, 1 year and over,Average number,Number,27
Ontario,1996,Calves, under 1 year,Number of farms reporting,Number,27992
Ontario,1996,Calves, under 1 year,Number of animals,Number,607871
Ontario,1996,Calves, under 1 year,Average number,Number,22
Ontario,1996,Total pigs,Number of farms reporting,Number,6777
Ontario,1996,Total pigs,Number of animals,Number,2831082
Ontario,1996,Total pigs,Average number,Number,418
Ontario,1996,Boars,Number of farms reporting,Number,3749
Ontario,1996,Boars,Number of animals,Number,15777
Ontario,1996,Boars,Average number,Number,4
Ontario,1996,Sows and gilts for breeding,Number of farms reporting,Number,4141
Ontario,1996,Sows and gilts for breeding,Number of animals,Number,296306
Ontario,1996,Sows and gilts for breeding,Average number,Number,72
Ontario,1996,All other pigs,Number of farms reporting,Number,6420
Ontario,1996,All other pigs,Number of animals,Number,2518999
Ontario,1996,All other pigs,Average number,Number,392
Ontario,1996,Total sheep,Number of farms reporting,Number,3592
Ontario,1996,Total sheep,Number of animals,Number,231087
Ontario,1996,Total sheep,Average number,Number,64
Ontario,1996,Rams,Number of farms reporting,Number,2640
Ontario,1996,Rams,Number of animals,Number,5671
Ontario,1996,Rams,Average number,Number,2
Ontario,1996,Ewes,Number of farms reporting,Number,3404
Ontario,1996,Ewes,Number of animals,Number,123031
Ontario,1996,Ewes,Average number,Number,36
Ontario,1996,All other sheep,Number of farms reporting,Number,3104
Ontario,1996,All other sheep,Number of animals,Number,102385
Ontario,1996,All other sheep,Average number,Number,33
Ontario,1996,Horses and ponies,Number of farms reporting,Number,11829
Ontario,1996,Horses and ponies,Number of animals,Number,76553
Ontario,1996,Horses and ponies,Average number,Number,6
Ontario,1996,Goats,Number of farms reporting,Number,2521
Ontario,1996,Goats,Number of animals,Number,45258
Ontario,1996,Goats,Average number,Number,18
Ontario,1996,Mink,Number of farms reporting,Number,74
Ontario,1996,Mink,Number of animals,Number,449327
Ontario,1996,Mink,Average number,Number,6072
Ontario,1996,Fox,Number of farms reporting,Number,32
Ontario,1996,Fox,Number of animals,Number,3798
Ontario,1996,Fox,Average number,Number,119
Ontario,1996,Bison,Number of farms reporting,Number,46
Ontario,1996,Bison,Number of animals,Number,2344
Ontario,1996,Bison,Average number,Number,51
Ontario,1996,Llamas and alpacas,Number of farms reporting,Number,161
Ontario,1996,Llamas and alpacas,Number of animals,Number,1114
Ontario,1996,Llamas and alpacas,Average number,Number,7
Ontario,1996,Total hens and chickens,Number of farms reporting,Number,8295
Ontario,1996,Total hens and chickens,Number of animals,Number,35596946
Ontario,1996,Total hens and chickens,Average number,Number,4291
Ontario,1996,Turkeys,Number of farms reporting,Number,1197
Ontario,1996,Turkeys,Number of animals,Number,3447259
Ontario,1996,Turkeys,Average number,Number,2880
Manitoba,1996,Total cattle,Number of farms reporting,Number,12807
Manitoba,1996,Total cattle,Number of animals,Number,1355162
Manitoba,1996,Total cattle,Average number,Number,106
Manitoba,1996,Dairy cows,Number of farms reporting,Number,1596
Manitoba,1996,Dairy cows,Number of animals,Number,59404
Manitoba,1996,Dairy cows,Average number,Number,37
Manitoba,1996,Beef cows,Number of farms reporting,Number,10859
Manitoba,1996,Beef cows,Number of animals,Number,510197
Manitoba,1996,Beef cows,Average number,Number,47
Manitoba,1996,Total heifers,Number of farms reporting,Number,9308
Manitoba,1996,Total heifers,Number of animals,Number,166425
Manitoba,1996,Total heifers,Average number,Number,18
Manitoba,1996,Bulls, 1 year and over,Number of farms reporting,Number,9787
Manitoba,1996,Bulls, 1 year and over,Number of animals,Number,28149
Manitoba,1996,Bulls, 1 year and over,Average number,Number,3
Manitoba,1996,Steers, 1 year and over,Number of farms reporting,Number,5407
Manitoba,1996,Steers, 1 year and over,Number of animals,Number,115119
Manitoba,1996,Steers, 1 year and over,Average number,Number,21
Manitoba,1996,Calves, under 1 year,Number of farms reporting,Number,11744
Manitoba,1996,Calves, under 1 year,Number of animals,Number,475868
Manitoba,1996,Calves, under 1 year,Average number,Number,41
Manitoba,1996,Total pigs,Number of farms reporting,Number,2064
Manitoba,1996,Total pigs,Number of animals,Number,1777352
Manitoba,1996,Total pigs,Average number,Number,861
Manitoba,1996,Boars,Number of farms reporting,Number,1029
Manitoba,1996,Boars,Number of animals,Number,10082
Manitoba,1996,Boars,Average number,Number,10
Manitoba,1996,Sows and gilts for breeding,Number of farms reporting,Number,1098
Manitoba,1996,Sows and gilts for breeding,Number of animals,Number,177596
Manitoba,1996,Sows and gilts for breeding,Average number,Number,162
Manitoba,1996,All other pigs,Number of farms reporting,Number,1995
Manitoba,1996,All other pigs,Number of animals,Number,1589674
Manitoba,1996,All other pigs,Average number,Number,797
Manitoba,1996,Total sheep,Number of farms reporting,Number,526
Manitoba,1996,Total sheep,Number of animals,Number,38152
Manitoba,1996,Total sheep,Average number,Number,73
Manitoba,1996,Rams,Number of farms reporting,Number,359
Manitoba,1996,Rams,Number of animals,Number,850
Manitoba,1996,Rams,Average number,Number,2
Manitoba,1996,Ewes,Number of farms reporting,Number,489
Manitoba,1996,Ewes,Number of animals,Number,18906
Manitoba,1996,Ewes,Average number,Number,39
Manitoba,1996,All other sheep,Number of farms reporting,Number,445
Manitoba,1996,All other sheep,Number of animals,Number,18396
Manitoba,1996,All other sheep,Average number,Number,41
Manitoba,1996,Horses and ponies,Number of farms reporting,Number,4155
Manitoba,1996,Horses and ponies,Number of animals,Number,68783
Manitoba,1996,Horses and ponies,Average number,Number,17
Manitoba,1996,Goats,Number of farms reporting,Number,515
Manitoba,1996,Goats,Number of animals,Number,7213
Manitoba,1996,Goats,Average number,Number,14
Manitoba,1996,Mink,Number of farms reporting,Number,11
Manitoba,1996,Mink,Number of animals,Number,51990
Manitoba,1996,Mink,Average number,Number,4726
Manitoba,1996,Fox,Number of farms reporting,Number,11
Manitoba,1996,Fox,Number of animals,Number,940
Manitoba,1996,Fox,Average number,Number,85
Manitoba,1996,Bison,Number of farms reporting,Number,73
Manitoba,1996,Bison,Number of animals,Number,4621
Manitoba,1996,Bison,Average number,Number,63
Manitoba,1996,Llamas and alpacas,Number of farms reporting,Number,49
Manitoba,1996,Llamas and alpacas,Number of animals,Number,196
Manitoba,1996,Llamas and alpacas,Average number,Number,4
Manitoba,1996,Total hens and chickens,Number of farms reporting,Number,1904
Manitoba,1996,Total hens and chickens,Number of animals,Number,6403908
Manitoba,1996,Total hens and chickens,Average number,Number,3363
Manitoba,1996,Turkeys,Number of farms reporting,Number,262
Manitoba,1996,Turkeys,Number of animals,Number,836939
Manitoba,1996,Turkeys,Average number,Number,3194
Saskatchewan,1996,Total cattle,Number of farms reporting,Number,25108
Saskatchewan,1996,Total cattle,Number of animals,Number,2723642
Saskatchewan,1996,Total cattle,Average number,Number,108
Saskatchewan,1996,Dairy cows,Number of farms reporting,Number,1512
Saskatchewan,1996,Dairy cows,Number of animals,Number,38154
Saskatchewan,1996,Dairy cows,Average number,Number,25
Saskatchewan,1996,Beef cows,Number of farms reporting,Number,22906
Saskatchewan,1996,Beef cows,Number of animals,Number,1135027
Saskatchewan,1996,Beef cows,Average number,Number,50
Saskatchewan,1996,Total heifers,Number of farms reporting,Number,17913
Saskatchewan,1996,Total heifers,Number of animals,Number,294949
Saskatchewan,1996,Total heifers,Average number,Number,16
Saskatchewan,1996,Bulls, 1 year and over,Number of farms reporting,Number,19325
Saskatchewan,1996,Bulls, 1 year and over,Number of animals,Number,65013
Saskatchewan,1996,Bulls, 1 year and over,Average number,Number,3
Saskatchewan,1996,Steers, 1 year and over,Number of farms reporting,Number,10185
Saskatchewan,1996,Steers, 1 year and over,Number of animals,Number,196680
Saskatchewan,1996,Steers, 1 year and over,Average number,Number,19
Saskatchewan,1996,Calves, under 1 year,Number of farms reporting,Number,22893
Saskatchewan,1996,Calves, under 1 year,Number of animals,Number,993819
Saskatchewan,1996,Calves, under 1 year,Average number,Number,43
Saskatchewan,1996,Total pigs,Number of farms reporting,Number,2848
Saskatchewan,1996,Total pigs,Number of animals,Number,757027
Saskatchewan,1996,Total pigs,Average number,Number,266
Saskatchewan,1996,Boars,Number of farms reporting,Number,1196
Saskatchewan,1996,Boars,Number of animals,Number,6492
Saskatchewan,1996,Boars,Average number,Number,5
Saskatchewan,1996,Sows and gilts for breeding,Number of farms reporting,Number,1435
Saskatchewan,1996,Sows and gilts for breeding,Number of animals,Number,72239
Saskatchewan,1996,Sows and gilts for breeding,Average number,Number,50
Saskatchewan,1996,All other pigs,Number of farms reporting,Number,2672
Saskatchewan,1996,All other pigs,Number of animals,Number,678296
Saskatchewan,1996,All other pigs,Average number,Number,254
Saskatchewan,1996,Total sheep,Number of farms reporting,Number,1297
Saskatchewan,1996,Total sheep,Number of animals,Number,72464
Saskatchewan,1996,Total sheep,Average number,Number,56
Saskatchewan,1996,Rams,Number of farms reporting,Number,825
Saskatchewan,1996,Rams,Number of animals,Number,1770
Saskatchewan,1996,Rams,Average number,Number,2
Saskatchewan,1996,Ewes,Number of farms reporting,Number,1209
Saskatchewan,1996,Ewes,Number of animals,Number,33767
Saskatchewan,1996,Ewes,Average number,Number,28
Saskatchewan,1996,All other sheep,Number of farms reporting,Number,1094
Saskatchewan,1996,All other sheep,Number of animals,Number,36927
Saskatchewan,1996,All other sheep,Average number,Number,34
Saskatchewan,1996,Horses and ponies,Number of farms reporting,Number,9472
Saskatchewan,1996,Horses and ponies,Number of animals,Number,66372
Saskatchewan,1996,Horses and ponies,Average number,Number,7
Saskatchewan,1996,Goats,Number of farms reporting,Number,941
Saskatchewan,1996,Goats,Number of animals,Number,7968
Saskatchewan,1996,Goats,Average number,Number,8
Saskatchewan,1996,Fox,Number of farms reporting,Number,10
Saskatchewan,1996,Fox,Number of animals,Number,1172
Saskatchewan,1996,Fox,Average number,Number,117
Saskatchewan,1996,Bison,Number of farms reporting,Number,175
Saskatchewan,1996,Bison,Number of animals,Number,7006
Saskatchewan,1996,Bison,Average number,Number,40
Saskatchewan,1996,Llamas and alpacas,Number of farms reporting,Number,182
Saskatchewan,1996,Llamas and alpacas,Number of animals,Number,815
Saskatchewan,1996,Llamas and alpacas,Average number,Number,4
Saskatchewan,1996,Total hens and chickens,Number of farms reporting,Number,4103
Saskatchewan,1996,Total hens and chickens,Number of animals,Number,3516027
Saskatchewan,1996,Total hens and chickens,Average number,Number,857
Saskatchewan,1996,Turkeys,Number of farms reporting,Number,784
Saskatchewan,1996,Turkeys,Number of animals,Number,296421
Saskatchewan,1996,Turkeys,Average number,Number,378
Alberta,1996,Total cattle,Number of farms reporting,Number,36560
Alberta,1996,Total cattle,Number of animals,Number,5942257
Alberta,1996,Total cattle,Average number,Number,163
Alberta,1996,Dairy cows,Number of farms reporting,Number,2822
Alberta,1996,Dairy cows,Number of animals,Number,102830
Alberta,1996,Dairy cows,Average number,Number,36
Alberta,1996,Beef cows,Number of farms reporting,Number,32048
Alberta,1996,Beef cows,Number of animals,Number,2016889
Alberta,1996,Beef cows,Average number,Number,63
Alberta,1996,Total heifers,Number of farms reporting,Number,23933
Alberta,1996,Total heifers,Number of animals,Number,952563
Alberta,1996,Total heifers,Average number,Number,40
Alberta,1996,Bulls, 1 year and over,Number of farms reporting,Number,28146
Alberta,1996,Bulls, 1 year and over,Number of animals,Number,118600
Alberta,1996,Bulls, 1 year and over,Average number,Number,4
Alberta,1996,Steers, 1 year and over,Number of farms reporting,Number,12855
Alberta,1996,Steers, 1 year and over,Number of animals,Number,892696
Alberta,1996,Steers, 1 year and over,Average number,Number,69
Alberta,1996,Calves, under 1 year,Number of farms reporting,Number,32383
Alberta,1996,Calves, under 1 year,Number of animals,Number,1858679
Alberta,1996,Calves, under 1 year,Average number,Number,57
Alberta,1996,Total pigs,Number of farms reporting,Number,4173
Alberta,1996,Total pigs,Number of animals,Number,1729810
Alberta,1996,Total pigs,Average number,Number,415
Alberta,1996,Boars,Number of farms reporting,Number,2152
Alberta,1996,Boars,Number of animals,Number,11471
Alberta,1996,Boars,Average number,Number,5
Alberta,1996,Sows and gilts for breeding,Number of farms reporting,Number,2453
Alberta,1996,Sows and gilts for breeding,Number of animals,Number,174195
Alberta,1996,Sows and gilts for breeding,Average number,Number,71
Alberta,1996,All other pigs,Number of farms reporting,Number,3871
Alberta,1996,All other pigs,Number of animals,Number,1544144
Alberta,1996,All other pigs,Average number,Number,399
Alberta,1996,Total sheep,Number of farms reporting,Number,2814
Alberta,1996,Total sheep,Number of animals,Number,259817
Alberta,1996,Total sheep,Average number,Number,92
Alberta,1996,Rams,Number of farms reporting,Number,1862
Alberta,1996,Rams,Number of animals,Number,5265
Alberta,1996,Rams,Average number,Number,3
Alberta,1996,Ewes,Number of farms reporting,Number,2596
Alberta,1996,Ewes,Number of animals,Number,111792
Alberta,1996,Ewes,Average number,Number,43
Alberta,1996,All other sheep,Number of farms reporting,Number,2361
Alberta,1996,All other sheep,Number of animals,Number,142760
Alberta,1996,All other sheep,Average number,Number,60
Alberta,1996,Horses and ponies,Number of farms reporting,Number,17951
Alberta,1996,Horses and ponies,Number of animals,Number,149960
Alberta,1996,Horses and ponies,Average number,Number,8
Alberta,1996,Goats,Number of farms reporting,Number,1863
Alberta,1996,Goats,Number of animals,Number,32960
Alberta,1996,Goats,Average number,Number,18
Alberta,1996,Mink,Number of farms reporting,Number,8
Alberta,1996,Mink,Number of animals,Number,44976
Alberta,1996,Mink,Average number,Number,5622
Alberta,1996,Fox,Number of farms reporting,Number,17
Alberta,1996,Fox,Number of animals,Number,1030
Alberta,1996,Fox,Average number,Number,61
Alberta,1996,Bison,Number of farms reporting,Number,334
Alberta,1996,Bison,Number of animals,Number,22782
Alberta,1996,Bison,Average number,Number,68
Alberta,1996,Llamas and alpacas,Number of farms reporting,Number,482
Alberta,1996,Llamas and alpacas,Number of animals,Number,3692
Alberta,1996,Llamas and alpacas,Average number,Number,8
Alberta,1996,Total hens and chickens,Number of farms reporting,Number,5610
Alberta,1996,Total hens and chickens,Number of animals,Number,9485635
Alberta,1996,Total hens and chickens,Average number,Number,1691
Alberta,1996,Turkeys,Number of farms reporting,Number,1180
Alberta,1996,Turkeys,Number of animals,Number,842798
Alberta,1996,Turkeys,Average number,Number,714
British Columbia,1996,Total cattle,Number of farms reporting,Number,9185
British Columbia,1996,Total cattle,Number of animals,Number,814103
British Columbia,1996,Total cattle,Average number,Number,89
British Columbia,1996,Dairy cows,Number of farms reporting,Number,1644
British Columbia,1996,Dairy cows,Number of animals,Number,82008
